Sector_score,LOCATION_ID,PARA_A,Score_A,Risk_A,PARA_B,Score_B,Risk_B,TOTAL,numbers,Score_B,Risk_C,Money_Value,Score_MV,Risk_D,District_Loss,PROB,RiSk_E,History,Prob,Risk_F,Score,Inherent_Risk,CONTROL_RISK,Detection_Risk,Audit_Risk,Risk
3.89,8,5.43,0.6,3.258,10.77,0.6,6.462,16.2,5,0.2,1,4.42,0.2,0.884,2,0.2,0.4,0,0.2,0,3.6,12.004,0.4,0.5,2.4008,1
3.89,8,15.38,0.6,9.228,40.14,0.6,24.084,55.52,5,0.2,1,0.96,0.2,0.192,2,0.4,0.8,1,0.4,0.4,4,35.704,1.2,0.5,21.4224,1
3.89,8,5.47,0.6,3.282,7.63,0.4,3.052,13.1,5,0.2,1,10.43,0.6,6.258,2,0.2,0.4,1,0.4,0.4,3.6,14.392,0.8,0.5,5.7568,1
3.89,8,1.09,0.4,0.436,0.35,0.2,0.07,1.44,5,0.2,1,0,0.2,0,2,0.2,0.4,0,0.2,0,2.2,1.906,0.4,0.5,0.3812,0
3.89,8,0,0.2,0,0.84,0.2,0.168,0.84,5,0.2,1,0.007,0.2,0.0014,2,0.2,0.4,0,0.2,0,2,1.5694,0.4,0.5,0.31388,0
3.89,13,1.95,0.4,0.78,9.01,0.4,3.604,10.96,5,0.2,1,9,0.4,3.6,2,0.2,0.4,0,0.2,0,3,9.384,0.4,0.5,1.8768,1
3.89,37,8.54,0.6,5.124,31.63,0.6,18.978,40.17,5,0.2,1,41.28,0.6,24.768,2,0.2,0.4,1,0.4,0.4,4.2,50.67,0.8,0.5,20.268,1
3.89,37,4.18,0.6,2.508,4.83,0.2,0.966,9.01,5.5,0.4,2.2,14.03,0.6,8.418,2,0.2,0.4,0,0.2,0,3.2,14.492,0.4,0.5,2.8984,1
3.89,37,1.81,0.4,0.724,1.03,0.2,0.206,2.84,5,0.2,1,0,0.2,0,2,0.2,0.4,0,0.2,0,2.2,2.33,0.4,0.5,0.466,0
3.89,37,4.86,0.6,2.916,46.78,0.6,28.068,51.64,5.5,0.4,2.2,63.18,0.6,37.908,2,0.2,0.4,0,0.2,0,4.4,71.492,0.4,0.5,14.2984,1
3.89,24,6.26,0.6,3.756,14.1,0.6,8.46,20.36,5,0.2,1,34.24,0.6,20.544,2,0.2,0.4,1,0.4,0.4,4.2,34.56,0.8,0.5,13.824,1
3.89,3,0.02,0.2,0.004,5.94,0.4,2.376,5.96,5,0.2,1,0.01,0.2,0.002,2,0.2,0.4,0,0.2,0,2.6,3.782,0.4,0.5,0.7564,0
3.89,3,5.31,0.6,3.186,22.79,0.6,13.674,28.1,5,0.2,1,205.19,0.6,123.114,2,0.2,0.4,1,0.4,0.4,4.2,141.774,0.8,0.5,56.7096,1
3.89,3,0.94,0.2,0.188,0.01,0.2,0.002,0.95,5,0.2,1,0.1,0.2,0.02,2,0.2,0.4,0,0.2,0,2,1.61,0.4,0.5,0.322,0
3.89,4,5.78,0.6,3.468,57.92,0.6,34.752,63.7,5,0.2,1,11.16,0.6,6.696,2,0.2,0.4,0,0.2,0,4,46.316,0.4,0.5,9.2632,1
3.89,4,7.42,0.6,4.452,2.24,0.2,0.448,9.66,5,0.2,1,1.25,0.2,0.25,2,0.2,0.4,0,0.2,0,2.4,6.55,0.4,0.5,1.31,1
3.89,4,0,0.2,0,1.1,0.2,0.22,1.1,5,0.2,1,0.007,0.2,0.0014,2,0.2,0.4,0,0.2,0,2,1.6214,0.4,0.5,0.32428,0
3.89,14,6.85,0.6,4.11,31.76,0.6,19.056,38.61,5,0.2,1,1.46,0.2,0.292,2,0.2,0.4,0,0.2,0,3.6,24.858,0.4,0.5,4.9716,1
3.89,14,0,0.2,0,1.03,0.2,0.206,1.03,5,0.2,1,0,0.2,0,2,0.2,0.4,0,0.2,0,2,1.606,0.4,0.5,0.3212,0
3.89,37,0,0.2,0,0.75,0.2,0.15,0.75,5,0.2,1,6.78,0.4,2.712,2,0.2,0.4,0,0.2,0,2.2,4.262,0.4,0.5,0.8524,0
3.89,37,2.4,0.6,1.44,16.63,0.6,9.978,19.03,5,0.2,1,1.16,0.2,0.232,2,0.2,0.4,0,0.2,0,3.6,13.05,0.4,0.5,2.61,1
3.89,5,0,0.2,0,0.05,0.2,0.01,0.05,5,0.2,1,152.41,0.6,91.446,2,0.2,0.4,0,0.2,0,2.4,92.856,0.4,0.5,18.5712,1
3.89,5,0,0.2,0,1.76,0.2,0.352,1.76,5,0.2,1,1.08,0.2,0.216,2,0.2,0.4,0,0.2,0,2,1.968,0.4,0.5,0.3936,0
3.89,5,0,0.2,0,2.97,0.2,0.594,2.97,5,0.2,1,2.84,0.2,0.568,2,0.2,0.4,0,0.2,0,2,2.562,0.4,0.5,0.5124,0
3.89,5,0,0.2,0,0.43,0.2,0.086,0.43,5,0.2,1,0,0.2,0,2,0.2,0.4,0,0.2,0,2,1.486,0.4,0.5,0.2972,0
3.89,5,0,0.2,0,0.94,0.2,0.188,0.94,5,0.2,1,0.9,0.2,0.18,2,0.2,0.4,0,0.2,0,2,1.768,0.4,0.5,0.3536,0
3.89,20,9.01,0.6,5.406,19.82,0.6,11.892,28.83,5,0.2,1,9.67,0.4,3.868,2,0.2,0.4,0,0.2,0,3.8,22.566,0.4,0.5,4.5132,1
3.89,19,0,0.2,0,0.05,0.2,0.01,0.05,5,0.2,1,0,0.2,0,2,0.2,0.4,0,0.2,0,2,1.41,0.4,0.5,0.282,0
3.89,19,11.95,0.6,7.17,30.9,0.6,18.54,42.85,5,0.2,1,32.68,0.6,19.608,2,0.2,0.4,0,0.2,0,4,46.718,0.4,0.5,9.3436,1
3.89,19,7.97,0.6,4.782,17.18,0.6,10.308,25.15,5,0.2,1,935.03,0.6,561.018,2,0.2,0.4,0,0.2,0,4,577.508,0.4,0.5,115.5016,1
3.89,19,0,0.2,0,3.71,0.2,0.742,3.71,5,0.2,1,29.63,0.6,17.778,2,0.2,0.4,0,0.2,0,2.4,19.92,0.4,0.5,3.984,1
3.89,19,0.62,0.2,0.124,2.02,0.2,0.404,2.64,5,0.2,1,0.11,0.2,0.022,2,0.2,0.4,0,0.2,0,2,1.95,0.4,0.5,0.39,0
3.89,19,0,0.2,0,2.27,0.2,0.454,2.27,5,0.2,1,2.62,0.2,0.524,2,0.2,0.4,0,0.2,0,2,2.378,0.4,0.5,0.4756,0
3.89,19,0,0.2,0,0,0.2,0,0,5,0.2,1,0,0.2,0,2,0.2,0.4,0,0.2,0,2,1.4,0.4,0.5,0.28,0
3.89,19,1.32,0.4,0.528,0,0.2,0,1.32,5,0.2,1,0.06,0.2,0.012,2,0.2,0.4,0,0.2,0,2.2,1.94,0.4,0.5,0.388,0
3.89,19,0,0.2,0,1.03,0.2,0.206,1.03,5,0.2,1,2.43,0.2,0.486,2,0.2,0.4,0,0.2,0,2,2.092,0.4,0.5,0.4184,0
3.89,21,0,0.2,0,15.38,0.6,9.228,15.38,5,0.2,1,126.13,0.6,75.678,2,0.2,0.4,0,0.2,0,3.6,86.306,0.4,0.5,17.2612,1
3.89,21,0,0.2,0,1.02,0.2,0.204,1.02,5,0.2,1,0,0.2,0,2,0.2,0.4,0,0.2,0,2,1.604,0.4,0.5,0.3208,0
3.89,21,0,0.2,0,20.71,0.6,12.426,20.71,5,0.2,1,20.79,0.6,12.474,2,0.2,0.4,2,0.6,1.2,4,27.5,1.6,0.5,22,1
